"Step","cosmic-sweep-11 - Average Weighted Test Accuracy","cosmic-sweep-11 - Average Weighted Test Accuracy__MIN","cosmic-sweep-11 - Average Weighted Test Accuracy__MAX","rosy-sweep-10 - Average Weighted Test Accuracy","rosy-sweep-10 - Average Weighted Test Accuracy__MIN","rosy-sweep-10 - Average Weighted Test Accuracy__MAX","crisp-sweep-9 - Average Weighted Test Accuracy","crisp-sweep-9 - Average Weighted Test Accuracy__MIN","crisp-sweep-9 - Average Weighted Test Accuracy__MAX","zany-sweep-8 - Average Weighted Test Accuracy","zany-sweep-8 - Average Weighted Test Accuracy__MIN","zany-sweep-8 - Average Weighted Test Accuracy__MAX","celestial-sweep-7 - Average Weighted Test Accuracy","celestial-sweep-7 - Average Weighted Test Accuracy__MIN","celestial-sweep-7 - Average Weighted Test Accuracy__MAX","giddy-sweep-6 - Average Weighted Test Accuracy","giddy-sweep-6 - Average Weighted Test Accuracy__MIN","giddy-sweep-6 - Average Weighted Test Accuracy__MAX","generous-sweep-5 - Average Weighted Test Accuracy","generous-sweep-5 - Average Weighted Test Accuracy__MIN","generous-sweep-5 - Average Weighted Test Accuracy__MAX","fearless-sweep-4 - Average Weighted Test Accuracy","fearless-sweep-4 - Average Weighted Test Accuracy__MIN","fearless-sweep-4 - Average Weighted Test Accuracy__MAX","treasured-sweep-3 - Average Weighted Test Accuracy","treasured-sweep-3 - Average Weighted Test Accuracy__MIN","treasured-sweep-3 - Average Weighted Test Accuracy__MAX","silver-sweep-2 - Average Weighted Test Accuracy","silver-sweep-2 - Average Weighted Test Accuracy__MIN","silver-sweep-2 - Average Weighted Test Accuracy__MAX","resilient-sweep-1 - Average Weighted Test Accuracy","resilient-sweep-1 - Average Weighted Test Accuracy__MIN","resilient-sweep-1 - Average Weighted Test Accuracy__MAX"
"22","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.752","0.752","0.752","0.7551666666666667","0.7551666666666667","0.7551666666666667","0.7525","0.7525","0.7525","0.755","0.755","0.755","0.7501666666666666","0.7501666666666666","0.7501666666666666","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.753","0.753","0.753","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7581666666666667","0.7581666666666667","0.7581666666666667"
"23","0.752","0.752","0.752","0.7533333333333333","0.7533333333333333","0.7533333333333333","0.7516666666666667","0.7516666666666667","0.7516666666666667","0.755","0.755","0.755","0.7533333333333333","0.7533333333333333","0.7533333333333333","0.7551666666666667","0.7551666666666667","0.7551666666666667","0.7498333333333334","0.7498333333333334","0.7498333333333334","0.752","0.752","0.752","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"24","0.752","0.752","0.752","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.749","0.749","0.749","0.7523333333333333","0.7523333333333333","0.7523333333333333","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7555","0.7555","0.7555","0.7593333333333333","0.7593333333333333","0.7593333333333333"
"25","0.7515","0.7515","0.7515","0.7533333333333333","0.7533333333333333","0.7533333333333333","0.7518333333333334","0.7518333333333334","0.7518333333333334","0.7545","0.7545","0.7545","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.755","0.755","0.755","0.7505","0.7505","0.7505","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7531666666666667","0.7531666666666667","0.7531666666666667","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.759","0.759","0.759"
"26","0.7531666666666667","0.7531666666666667","0.7531666666666667","0.7536666666666667","0.7536666666666667","0.7536666666666667","0.7525","0.7525","0.7525","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7535","0.7535","0.7535","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.752","0.752","0.752","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.756","0.756","0.756","0.7593333333333333","0.7593333333333333","0.7593333333333333"
"27","0.752","0.752","0.752","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.754","0.754","0.754","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7501666666666666","0.7501666666666666","0.7501666666666666","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.754","0.754","0.754","0.756","0.756","0.756","0.7585","0.7585","0.7585"
"28","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7555","0.7555","0.7555","0.7531666666666667","0.7531666666666667","0.7531666666666667","0.7551666666666667","0.7551666666666667","0.7551666666666667","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.7533333333333333","0.7533333333333333","0.7533333333333333","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.759","0.759","0.759"
"29","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.7525","0.7525","0.7525","0.756","0.756","0.756","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7545","0.7545","0.7545","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.753","0.753","0.753","0.754","0.754","0.754","0.7545","0.7545","0.7545","0.76","0.76","0.76"
"30","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7518333333333334","0.7518333333333334","0.7518333333333334","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7551666666666667","0.7551666666666667","0.7551666666666667","0.7548333333333334","0.7548333333333334","0.7548333333333334","0.7505","0.7505","0.7505","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7603333333333333","0.7603333333333333","0.7603333333333333"
"31","0.7523333333333333","0.7523333333333333","0.7523333333333333","0.7551666666666667","0.7551666666666667","0.7551666666666667","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7545","0.7545","0.7545","0.755","0.755","0.755","0.7508333333333334","0.7508333333333334","0.7508333333333334","0.7531666666666667","0.7531666666666667","0.7531666666666667","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7553333333333333","0.7553333333333333","0.7553333333333333","0.7598333333333334","0.7598333333333334","0.7598333333333334"
