"Step","vocal-sweep-11 - Average Weighted Test Accuracy","vocal-sweep-11 - Average Weighted Test Accuracy__MIN","vocal-sweep-11 - Average Weighted Test Accuracy__MAX","summer-sweep-10 - Average Weighted Test Accuracy","summer-sweep-10 - Average Weighted Test Accuracy__MIN","summer-sweep-10 - Average Weighted Test Accuracy__MAX","major-sweep-9 - Average Weighted Test Accuracy","major-sweep-9 - Average Weighted Test Accuracy__MIN","major-sweep-9 - Average Weighted Test Accuracy__MAX","solar-sweep-8 - Average Weighted Test Accuracy","solar-sweep-8 - Average Weighted Test Accuracy__MIN","solar-sweep-8 - Average Weighted Test Accuracy__MAX","usual-sweep-7 - Average Weighted Test Accuracy","usual-sweep-7 - Average Weighted Test Accuracy__MIN","usual-sweep-7 - Average Weighted Test Accuracy__MAX","sandy-sweep-6 - Average Weighted Test Accuracy","sandy-sweep-6 - Average Weighted Test Accuracy__MIN","sandy-sweep-6 - Average Weighted Test Accuracy__MAX","autumn-sweep-5 - Average Weighted Test Accuracy","autumn-sweep-5 - Average Weighted Test Accuracy__MIN","autumn-sweep-5 - Average Weighted Test Accuracy__MAX","lively-sweep-4 - Average Weighted Test Accuracy","lively-sweep-4 - Average Weighted Test Accuracy__MIN","lively-sweep-4 - Average Weighted Test Accuracy__MAX","lunar-sweep-3 - Average Weighted Test Accuracy","lunar-sweep-3 - Average Weighted Test Accuracy__MIN","lunar-sweep-3 - Average Weighted Test Accuracy__MAX","treasured-sweep-2 - Average Weighted Test Accuracy","treasured-sweep-2 - Average Weighted Test Accuracy__MIN","treasured-sweep-2 - Average Weighted Test Accuracy__MAX","sweepy-sweep-1 - Average Weighted Test Accuracy","sweepy-sweep-1 - Average Weighted Test Accuracy__MIN","sweepy-sweep-1 - Average Weighted Test Accuracy__MAX"
"20","0.447517965204236","0.447517965204236","0.447517965204236","0.44687736384266263","0.44687736384266263","0.44687736384266263","0.447222484871407","0.447222484871407","0.447222484871407","0.4461823940998487","0.4461823940998487","0.4461823940998487","0.44715156959152796","0.44715156959152796","0.44715156959152796","0.4479765506807867","0.4479765506807867","0.4479765506807867","0.44671662254160366","0.44671662254160366","0.44671662254160366","0.44683008698940996","0.44683008698940996","0.44683008698940996","0.4484445915279879","0.4484445915279879","0.4484445915279879","0.4472910363086233","0.4472910363086233","0.4472910363086233","0.44747777987897125","0.44747777987897125","0.44747777987897125"
"21","0.4486620650529501","0.4486620650529501","0.4486620650529501","0.4488984493192133","0.4488984493192133","0.4488984493192133","0.4481963880484115","0.4481963880484115","0.4481963880484115","0.4476408850226929","0.4476408850226929","0.4476408850226929","0.44933103252647505","0.44933103252647505","0.44933103252647505","0.44999527231467473","0.44999527231467473","0.44999527231467473","0.44971870272314673","0.44971870272314673","0.44971870272314673","0.4490946482602118","0.4490946482602118","0.4490946482602118","0.44988889939485627","0.44988889939485627","0.44988889939485627","0.4492128403933434","0.4492128403933434","0.4492128403933434","0.4498250756429652","0.4498250756429652","0.4498250756429652"
"22","0.4507091527987897","0.4507091527987897","0.4507091527987897","0.4514490355521936","0.4514490355521936","0.4514490355521936","0.4512622919818457","0.4512622919818457","0.4512622919818457","0.4506571482602118","0.4506571482602118","0.4506571482602118","0.4507162443267776","0.4507162443267776","0.4507162443267776","0.45230238275340395","0.45230238275340395","0.45230238275340395","0.45132375189107415","0.45132375189107415","0.45132375189107415","0.4512126512859304","0.4512126512859304","0.4512126512859304","0.4522196482602118","0.4522196482602118","0.4522196482602118","0.45134739031770044","0.45134739031770044","0.45134739031770044","0.45160977685325265","0.45160977685325265","0.45160977685325265"
"23","0.4529004349470499","0.4529004349470499","0.4529004349470499","0.4525624054462935","0.4525624054462935","0.4525624054462935","0.45324319213313163","0.45324319213313163","0.45324319213313163","0.45241111951588503","0.45241111951588503","0.45241111951588503","0.4535126701966717","0.4535126701966717","0.4535126701966717","0.4539688918305598","0.4539688918305598","0.4539688918305598","0.4524796709531014","0.4524796709531014","0.4524796709531014","0.4529477118003026","0.4529477118003026","0.4529477118003026","0.4532550113464448","0.4532550113464448","0.4532550113464448","0.45277042360060515","0.45277042360060515","0.45277042360060515","0.4539003403933434","0.4539003403933434","0.4539003403933434"
"24","0.45403271558245084","0.45403271558245084","0.45403271558245084","0.45440147503782147","0.45440147503782147","0.45440147503782147","0.4542572806354009","0.4542572806354009","0.4542572806354009","0.45398780257186083","0.45398780257186083","0.45398780257186083","0.4550326210287443","0.4550326210287443","0.4550326210287443","0.4547962367624811","0.4547962367624811","0.4547962367624811","0.45447948184568837","0.45447948184568837","0.45447948184568837","0.4546000378214826","0.4546000378214826","0.4546000378214826","0.4560608925869894","0.4560608925869894","0.4560608925869894","0.45486006051437217","0.45486006051437217","0.45486006051437217","0.4559048789712557","0.4559048789712557","0.4559048789712557"
"25","0.4568787821482602","0.4568787821482602","0.4568787821482602","0.4561483547655068","0.4561483547655068","0.4561483547655068","0.4569426059001513","0.4569426059001513","0.4569426059001513","0.45537537821482604","0.45537537821482604","0.45537537821482604","0.45621927004538576","0.45621927004538576","0.45621927004538576","0.45687405446293494","0.45687405446293494","0.45687405446293494","0.4555928517397882","0.4555928517397882","0.4555928517397882","0.455973430408472","0.455973430408472","0.455973430408472","0.4577770423600605","0.4577770423600605","0.4577770423600605","0.4565856656580938","0.4565856656580938","0.4565856656580938","0.4571553517397882","0.4571553517397882","0.4571553517397882"
"26","0.45761630105900153","0.45761630105900153","0.45761630105900153","0.4580016074130106","0.4580016074130106","0.4580016074130106","0.4581576210287443","0.4581576210287443","0.4581576210287443","0.4571671709531014","0.4571671709531014","0.4571671709531014","0.45825453857791226","0.45825453857791226","0.45825453857791226","0.45835145612708017","0.45835145612708017","0.45835145612708017","0.4572191754916793","0.4572191754916793","0.4572191754916793","0.45798506051437216","0.45798506051437216","0.45798506051437216","0.45941518532526476","0.45941518532526476","0.45941518532526476","0.4584294629349471","0.4584294629349471","0.4584294629349471","0.458937689107413","0.458937689107413","0.458937689107413"
"27","0.45923316944024206","0.45923316944024206","0.45923316944024206","0.4596728441754917","0.4596728441754917","0.4596728441754917","0.4596232034795764","0.4596232034795764","0.4596232034795764","0.4588880484114977","0.4588880484114977","0.4588880484114977","0.4598619515885023","0.4598619515885023","0.4598619515885023","0.4600959720121029","0.4600959720121029","0.4600959720121029","0.4591055219364599","0.4591055219364599","0.4591055219364599","0.4590606089258699","0.4590606089258699","0.4590606089258699","0.46088313161875943","0.46088313161875943","0.46088313161875943","0.4596019288956127","0.4596019288956127","0.4596019288956127","0.46006524205748867","0.46006524205748867","0.46006524205748867"
"28","0.46071529878971257","0.46071529878971257","0.46071529878971257","0.46124952723146745","0.46124952723146745","0.46124952723146745","0.46063965582450833","0.46063965582450833","0.46063965582450833","0.4598075832072617","0.4598075832072617","0.4598075832072617","0.461535552193646","0.461535552193646","0.461535552193646","0.46107223903177","0.46107223903177","0.46107223903177","0.46004160363086233","0.46004160363086233","0.46004160363086233","0.46141736006051437","0.46141736006051437","0.46141736006051437","0.46217378971255674","0.46217378971255674","0.46217378971255674","0.46142208774583965","0.46142208774583965","0.46142208774583965","0.4617837556732224","0.4617837556732224","0.4617837556732224"
"29","0.46241726550680784","0.46241726550680784","0.46241726550680784","0.4629467662632375","0.4629467662632375","0.4629467662632375","0.4622730711043873","0.4622730711043873","0.4622730711043873","0.4613228063540091","0.4613228063540091","0.4613228063540091","0.4626749243570348","0.4626749243570348","0.4626749243570348","0.4630034984871407","0.4630034984871407","0.4630034984871407","0.4620555975794251","0.4620555975794251","0.4620555975794251","0.46234398638426627","0.46234398638426627","0.46234398638426627","0.46325642965204233","0.46325642965204233","0.46325642965204233","0.46264183055975794","0.46264183055975794","0.46264183055975794","0.46350936081694405","0.46350936081694405","0.46350936081694405"
