"Step","fluent-sweep-11 - Average User Test Accuracy","fluent-sweep-11 - Average User Test Accuracy__MIN","fluent-sweep-11 - Average User Test Accuracy__MAX","vital-sweep-10 - Average User Test Accuracy","vital-sweep-10 - Average User Test Accuracy__MIN","vital-sweep-10 - Average User Test Accuracy__MAX","rich-sweep-9 - Average User Test Accuracy","rich-sweep-9 - Average User Test Accuracy__MIN","rich-sweep-9 - Average User Test Accuracy__MAX","stellar-sweep-8 - Average User Test Accuracy","stellar-sweep-8 - Average User Test Accuracy__MIN","stellar-sweep-8 - Average User Test Accuracy__MAX","cool-sweep-7 - Average User Test Accuracy","cool-sweep-7 - Average User Test Accuracy__MIN","cool-sweep-7 - Average User Test Accuracy__MAX","cerulean-sweep-6 - Average User Test Accuracy","cerulean-sweep-6 - Average User Test Accuracy__MIN","cerulean-sweep-6 - Average User Test Accuracy__MAX","blooming-sweep-5 - Average User Test Accuracy","blooming-sweep-5 - Average User Test Accuracy__MIN","blooming-sweep-5 - Average User Test Accuracy__MAX","lively-sweep-4 - Average User Test Accuracy","lively-sweep-4 - Average User Test Accuracy__MIN","lively-sweep-4 - Average User Test Accuracy__MAX","dashing-sweep-3 - Average User Test Accuracy","dashing-sweep-3 - Average User Test Accuracy__MIN","dashing-sweep-3 - Average User Test Accuracy__MAX","northern-sweep-2 - Average User Test Accuracy","northern-sweep-2 - Average User Test Accuracy__MIN","northern-sweep-2 - Average User Test Accuracy__MAX","denim-sweep-1 - Average User Test Accuracy","denim-sweep-1 - Average User Test Accuracy__MIN","denim-sweep-1 - Average User Test Accuracy__MAX"
"23","0.6387154819772578","0.6387154819772578","0.6387154819772578","0.6379055342509358","0.6379055342509358","0.6379055342509358","0.6378669853649338","0.6378669853649338","0.6378669853649338","0.6391981529916543","0.6391981529916543","0.6391981529916543","0.6385956492091527","0.6385956492091527","0.6385956492091527","0.6388549553916487","0.6388549553916487","0.6388549553916487","0.639180389901119","0.639180389901119","0.639180389901119","0.638466197460846","0.638466197460846","0.638466197460846","0.6387682858361184","0.6387682858361184","0.6387682858361184","0.6377441032960639","0.6377441032960639","0.6377441032960639","0.6406427049346278","0.6406427049346278","0.6406427049346278"
"24","0.644410113302087","0.644410113302087","0.644410113302087","0.6438195666443589","0.6438195666443589","0.6438195666443589","0.6436874805611813","0.6436874805611813","0.6436874805611813","0.6448233233923606","0.6448233233923606","0.6448233233923606","0.6440096876768393","0.6440096876768393","0.6440096876768393","0.6446749791574162","0.6446749791574162","0.6446749791574162","0.6447420083144196","0.6447420083144196","0.6447420083144196","0.6444360122029769","0.6444360122029769","0.6444360122029769","0.64423035075803","0.64423035075803","0.64423035075803","0.6434562136988428","0.6434562136988428","0.6434562136988428","0.6462643612805998","0.6462643612805998","0.6462643612805998"
"25","0.6495334255985857","0.6495334255985857","0.6495334255985857","0.6490348517337943","0.6490348517337943","0.6490348517337943","0.6493139023351842","0.6493139023351842","0.6493139023351842","0.6500037182895199","0.6500037182895199","0.6500037182895199","0.6491422306347555","0.6491422306347555","0.6491422306347555","0.650113531886714","0.650113531886714","0.650113531886714","0.649504877850034","0.649504877850034","0.649504877850034","0.6501064137378495","0.6501064137378495","0.6501064137378495","0.6503032087299812","0.6503032087299812","0.6503032087299812","0.6490051354955938","0.6490051354955938","0.6490051354955938","0.6512044294292436","0.6512044294292436","0.6512044294292436"
"26","0.6543399813805126","0.6543399813805126","0.6543399813805126","0.6538015208371736","0.6538015208371736","0.6538015208371736","0.6541956034397313","0.6541956034397313","0.6541956034397313","0.6546668166788052","0.6546668166788052","0.6546668166788052","0.6540663426390869","0.6540663426390869","0.6540663426390869","0.6546189634642543","0.6546189634642543","0.6546189634642543","0.6542963748065398","0.6542963748065398","0.6542963748065398","0.6548957205637977","0.6548957205637977","0.6548957205637977","0.6553347768674542","0.6553347768674542","0.6553347768674542","0.6536663434862027","0.6536663434862027","0.6536663434862027","0.6554535939262311","0.6554535939262311","0.6554535939262311"
"27","0.6583631015607041","0.6583631015607041","0.6583631015607041","0.6580425842946879","0.6580425842946879","0.6580425842946879","0.6584939729390936","0.6584939729390936","0.6584939729390936","0.6589356629609285","0.6589356629609285","0.6589356629609285","0.658393200834851","0.658393200834851","0.658393200834851","0.658540296912108","0.658540296912108","0.658540296912108","0.6584843305543039","0.6584843305543039","0.6584843305543039","0.6592790602453273","0.6592790602453273","0.6592790602453273","0.6597394551799282","0.6597394551799282","0.6597394551799282","0.6579387957950436","0.6579387957950436","0.6579387957950436","0.6596321461309276","0.6596321461309276","0.6596321461309276"
"28","0.6622453115842402","0.6622453115842402","0.6622453115842402","0.6621585700888928","0.6621585700888928","0.6621585700888928","0.6622438301393266","0.6622438301393266","0.6622438301393266","0.6625595716154434","0.6625595716154434","0.6625595716154434","0.6621447367632173","0.6621447367632173","0.6621447367632173","0.6628143606685716","0.6628143606685716","0.6628143606685716","0.6625647319474337","0.6625647319474337","0.6625647319474337","0.6631054743223621","0.6631054743223621","0.6631054743223621","0.6635347059377883","0.6635347059377883","0.6635347059377883","0.6621182507159721","0.6621182507159721","0.6621182507159721","0.6634837348967512","0.6634837348967512","0.6634837348967512"
"29","0.665928742839251","0.665928742839251","0.665928742839251","0.6657430719183841","0.6657430719183841","0.6657430719183841","0.6660396388175498","0.6660396388175498","0.6660396388175498","0.6662573914630625","0.6662573914630625","0.6662573914630625","0.6660314220202258","0.6660314220202258","0.6660314220202258","0.6661605777333065","0.6661605777333065","0.6661605777333065","0.6657852732650344","0.6657852732650344","0.6657852732650344","0.6669466078257081","0.6669466078257081","0.6669466078257081","0.6670404060611923","0.6670404060611923","0.6670404060611923","0.6656017364608096","0.6656017364608096","0.6656017364608096","0.667003615219741","0.667003615219741","0.667003615219741"
"30","0.6692708526758777","0.6692708526758777","0.6692708526758777","0.6691975936528409","0.6691975936528409","0.6691975936528409","0.6695723688309444","0.6695723688309444","0.6695723688309444","0.669756181380786","0.669756181380786","0.669756181380786","0.6694093223020862","0.6694093223020862","0.6694093223020862","0.6693801669959891","0.6693801669959891","0.6693801669959891","0.6692871906078427","0.6692871906078427","0.6692871906078427","0.670337535157644","0.670337535157644","0.670337535157644","0.6706035417324512","0.6706035417324512","0.6706035417324512","0.6689076803229371","0.6689076803229371","0.6689076803229371","0.6699895943559124","0.6699895943559124","0.6699895943559124"
"31","0.6727453309819221","0.6727453309819221","0.6727453309819221","0.6721659449671594","0.6721659449671594","0.6721659449671594","0.6725233499458496","0.6725233499458496","0.6725233499458496","0.6727145617554088","0.6727145617554088","0.6727145617554088","0.6728520414018418","0.6728520414018418","0.6728520414018418","0.6722040523304946","0.6722040523304946","0.6722040523304946","0.6726932115020254","0.6726932115020254","0.6726932115020254","0.6729556655566493","0.6729556655566493","0.6729556655566493","0.6737775998626049","0.6737775998626049","0.6737775998626049","0.6721276791027762","0.6721276791027762","0.6721276791027762","0.6732172986697756","0.6732172986697756","0.6732172986697756"
"32","0.6755758268139541","0.6755758268139541","0.6755758268139541","0.6753748159831174","0.6753748159831174","0.6753748159831174","0.6756083264909838","0.6756083264909838","0.6756083264909838","0.6757109356630296","0.6757109356630296","0.6757109356630296","0.6758702046544912","0.6758702046544912","0.6758702046544912","0.6749787757638959","0.6749787757638959","0.6749787757638959","0.6752069307024408","0.6752069307024408","0.6752069307024408","0.6758887585157877","0.6758887585157877","0.6758887585157877","0.676701644065059","0.676701644065059","0.676701644065059","0.6751179159763291","0.6751179159763291","0.6751179159763291","0.6760117455498608","0.6760117455498608","0.6760117455498608"
"33","0.6781945624371412","0.6781945624371412","0.6781945624371412","0.6781177772032055","0.6781177772032055","0.6781177772032055","0.6784415759326089","0.6784415759326089","0.6784415759326089","0.6780824623793651","0.6780824623793651","0.6780824623793651","0.6785884718372924","0.6785884718372924","0.6785884718372924","0.6777182531291934","0.6777182531291934","0.6777182531291934","0.6781238201051631","0.6781238201051631","0.6781238201051631","0.678454620913723","0.678454620913723","0.678454620913723","0.6792847632792356","0.6792847632792356","0.6792847632792356","0.6775127140600261","0.6775127140600261","0.6775127140600261","0.6787215737639988","0.6787215737639988","0.6787215737639988"
"34","0.6804581079951751","0.6804581079951751","0.6804581079951751","0.6807872942382625","0.6807872942382625","0.6807872942382625","0.6809181168432693","0.6809181168432693","0.6809181168432693","0.6806692236019469","0.6806692236019469","0.6806692236019469","0.6809854559744807","0.6809854559744807","0.6809854559744807","0.6803892349360817","0.6803892349360817","0.6803892349360817","0.680337212335605","0.680337212335605","0.680337212335605","0.6810704485021728","0.6810704485021728","0.6810704485021728","0.6816129473940861","0.6816129473940861","0.6816129473940861","0.6800156025953699","0.6800156025953699","0.6800156025953699","0.6811929860712398","0.6811929860712398","0.6811929860712398"
"35","0.6830508216983223","0.6830508216983223","0.6830508216983223","0.6829114899063409","0.6829114899063409","0.6829114899063409","0.6835503415490336","0.6835503415490336","0.6835503415490336","0.6831267839080208","0.6831267839080208","0.6831267839080208","0.6832597570118099","0.6832597570118099","0.6832597570118099","0.6829841847739107","0.6829841847739107","0.6829841847739107","0.6825139986523786","0.6825139986523786","0.6825139986523786","0.6834881840115","0.6834881840115","0.6834881840115","0.6840397691534486","0.6840397691534486","0.6840397691534486","0.6822518942325262","0.6822518942325262","0.6822518942325262","0.6836185260190757","0.6836185260190757","0.6836185260190757"
"36","0.6852175087237307","0.6852175087237307","0.6852175087237307","0.685225107968859","0.685225107968859","0.685225107968859","0.6859958000732528","0.6859958000732528","0.6859958000732528","0.6855883823141348","0.6855883823141348","0.6855883823141348","0.6854616954891727","0.6854616954891727","0.6854616954891727","0.6849960526888904","0.6849960526888904","0.6849960526888904","0.6848567486380289","0.6848567486380289","0.6848567486380289","0.6858244985034974","0.6858244985034974","0.6858244985034974","0.6860928271841152","0.6860928271841152","0.6860928271841152","0.6845598569153194","0.6845598569153194","0.6845598569153194","0.6857758069741574","0.6857758069741574","0.6857758069741574"
"37","0.687398660982959","0.687398660982959","0.687398660982959","0.6878080594515306","0.6878080594515306","0.6878080594515306","0.6881802220196694","0.6881802220196694","0.6881802220196694","0.6879970565949176","0.6879970565949176","0.6879970565949176","0.6876184495329242","0.6876184495329242","0.6876184495329242","0.6870428771611399","0.6870428771611399","0.6870428771611399","0.686990171877775","0.686990171877775","0.686990171877775","0.6880605151112701","0.6880605151112701","0.6880605151112701","0.6882905486405736","0.6882905486405736","0.6882905486405736","0.6867176408173983","0.6867176408173983","0.6867176408173983","0.6879857041996277","0.6879857041996277","0.6879857041996277"
