"Step","mild-sweep-11 - Average User Test Accuracy","mild-sweep-11 - Average User Test Accuracy__MIN","mild-sweep-11 - Average User Test Accuracy__MAX","generous-sweep-10 - Average User Test Accuracy","generous-sweep-10 - Average User Test Accuracy__MIN","generous-sweep-10 - Average User Test Accuracy__MAX","misunderstood-sweep-9 - Average User Test Accuracy","misunderstood-sweep-9 - Average User Test Accuracy__MIN","misunderstood-sweep-9 - Average User Test Accuracy__MAX","lilac-sweep-8 - Average User Test Accuracy","lilac-sweep-8 - Average User Test Accuracy__MIN","lilac-sweep-8 - Average User Test Accuracy__MAX","giddy-sweep-7 - Average User Test Accuracy","giddy-sweep-7 - Average User Test Accuracy__MIN","giddy-sweep-7 - Average User Test Accuracy__MAX","hardy-sweep-6 - Average User Test Accuracy","hardy-sweep-6 - Average User Test Accuracy__MIN","hardy-sweep-6 - Average User Test Accuracy__MAX","fiery-sweep-5 - Average User Test Accuracy","fiery-sweep-5 - Average User Test Accuracy__MIN","fiery-sweep-5 - Average User Test Accuracy__MAX","autumn-sweep-4 - Average User Test Accuracy","autumn-sweep-4 - Average User Test Accuracy__MIN","autumn-sweep-4 - Average User Test Accuracy__MAX","grateful-sweep-3 - Average User Test Accuracy","grateful-sweep-3 - Average User Test Accuracy__MIN","grateful-sweep-3 - Average User Test Accuracy__MAX","chocolate-sweep-2 - Average User Test Accuracy","chocolate-sweep-2 - Average User Test Accuracy__MIN","chocolate-sweep-2 - Average User Test Accuracy__MAX","major-sweep-1 - Average User Test Accuracy","major-sweep-1 - Average User Test Accuracy__MIN","major-sweep-1 - Average User Test Accuracy__MAX"
"20","0.3975286814577186","0.3975286814577186","0.3975286814577186","0.3976416491730243","0.3976416491730243","0.3976416491730243","0.39754364854026353","0.39754364854026353","0.39754364854026353","0.3975250255935277","0.3975250255935277","0.3975250255935277","0.3974395607251491","0.3974395607251491","0.3974395607251491","0.39765979349912467","0.39765979349912467","0.39765979349912467","0.397506370349379","0.397506370349379","0.397506370349379","0.39734657981757254","0.39734657981757254","0.39734657981757254","0.39749398962768817","0.39749398962768817","0.39749398962768817","0.3978000564499266","0.3978000564499266","0.3978000564499266","0.39786763386727536","0.39786763386727536","0.39786763386727536"
"21","0.3984345467994623","0.3984345467994623","0.3984345467994623","0.3983082883872711","0.3983082883872711","0.3983082883872711","0.39848373662164666","0.39848373662164666","0.39848373662164666","0.39846783808392394","0.39846783808392394","0.39846783808392394","0.39838410042660544","0.39838410042660544","0.39838410042660544","0.39850325873542386","0.39850325873542386","0.39850325873542386","0.39836175933219486","0.39836175933219486","0.39836175933219486","0.39814232081227485","0.39814232081227485","0.39814232081227485","0.3982342091276827","0.3982342091276827","0.3982342091276827","0.3985599870147336","0.3985599870147336","0.3985599870147336","0.39859798914809585","0.39859798914809585","0.39859798914809585"
"22","0.3991815878574395","0.3991815878574395","0.3991815878574395","0.3992097595454194","0.3992097595454194","0.3992097595454194","0.3993447797816314","0.3993447797816314","0.3993447797816314","0.39904635886799567","0.39904635886799567","0.39904635886799567","0.3991218758770211","0.3991218758770211","0.3991218758770211","0.3993042027147695","0.3993042027147695","0.3993042027147695","0.39924368425672835","0.39924368425672835","0.39924368425672835","0.39896978873585975","0.39896978873585975","0.39896978873585975","0.39894388724474517","0.39894388724474517","0.39894388724474517","0.3992559872280454","0.3992559872280454","0.3992559872280454","0.39921176292919824","0.39921176292919824","0.39921176292919824"
"23","0.3998486707076359","0.3998486707076359","0.3998486707076359","0.3999797560228449","0.3999797560228449","0.3999797560228449","0.4002800810893721","0.4002800810893721","0.4002800810893721","0.3996778013625064","0.3996778013625064","0.3996778013625064","0.3998322614727363","0.3998322614727363","0.3998322614727363","0.40004519358028573","0.40004519358028573","0.40004519358028573","0.4000758393095847","0.4000758393095847","0.4000758393095847","0.39974584877231345","0.39974584877231345","0.39974584877231345","0.3995943449737933","0.3995943449737933","0.3995943449737933","0.3997737216250277","0.3997737216250277","0.3997737216250277","0.39988186109315343","0.39988186109315343","0.39988186109315343"
"24","0.4003375431440431","0.4003375431440431","0.4003375431440431","0.4006681345626876","0.4006681345626876","0.4006681345626876","0.4007845421196869","0.4007845421196869","0.4007845421196869","0.4002353359623468","0.4002353359623468","0.4002353359623468","0.4004581819319078","0.4004581819319078","0.4004581819319078","0.40086493710337007","0.40086493710337007","0.40086493710337007","0.40068716479999944","0.40068716479999944","0.40068716479999944","0.4004250802537065","0.4004250802537065","0.4004250802537065","0.40033302628414014","0.40033302628414014","0.40033302628414014","0.4005037209100183","0.4005037209100183","0.4005037209100183","0.4005353342946138","0.4005353342946138","0.4005353342946138"
"25","0.4010706068843232","0.4010706068843232","0.4010706068843232","0.4013315954696189","0.4013315954696189","0.4013315954696189","0.40124285650045655","0.40124285650045655","0.40124285650045655","0.40095536536127874","0.40095536536127874","0.40095536536127874","0.4010987691500158","0.4010987691500158","0.4010987691500158","0.40147654488579193","0.40147654488579193","0.40147654488579193","0.40121831045849904","0.40121831045849904","0.40121831045849904","0.4009222635043073","0.4009222635043073","0.4009222635043073","0.40096486794234326","0.40096486794234326","0.40096486794234326","0.40110932240098934","0.40110932240098934","0.40110932240098934","0.4011595778534758","0.4011595778534758","0.4011595778534758"
"26","0.4016726986458902","0.4016726986458902","0.4016726986458902","0.4019055237608959","0.4019055237608959","0.4019055237608959","0.4017795678120839","0.4017795678120839","0.4017795678120839","0.4016485921381146","0.4016485921381146","0.4016485921381146","0.40185240827002494","0.40185240827002494","0.40185240827002494","0.4022057712208514","0.4022057712208514","0.4022057712208514","0.40187724835509564","0.40187724835509564","0.40187724835509564","0.4014684681689524","0.4014684681689524","0.4014684681689524","0.40179649097556563","0.40179649097556563","0.40179649097556563","0.40164396933540963","0.40164396933540963","0.40164396933540963","0.4017945036300057","0.4017945036300057","0.4017945036300057"
"27","0.4022261780991067","0.4022261780991067","0.4022261780991067","0.4024500356561772","0.4024500356561772","0.4024500356561772","0.4023698777744685","0.4023698777744685","0.4023698777744685","0.40213040001627726","0.40213040001627726","0.40213040001627726","0.4024721298393844","0.4024721298393844","0.4024721298393844","0.4027050356013028","0.4027050356013028","0.4027050356013028","0.40251453062168585","0.40251453062168585","0.40251453062168585","0.40195587029773555","0.40195587029773555","0.40195587029773555","0.4022633146600148","0.4022633146600148","0.4022633146600148","0.4024177011803261","0.4024177011803261","0.4024177011803261","0.40247931339955123","0.40247931339955123","0.40247931339955123"
"28","0.40302547827434254","0.40302547827434254","0.40302547827434254","0.4028755510023439","0.4028755510023439","0.4028755510023439","0.4029495397412663","0.4029495397412663","0.4029495397412663","0.4027423572233523","0.4027423572233523","0.4027423572233523","0.40298123737129543","0.40298123737129543","0.40298123737129543","0.40320223852282294","0.40320223852282294","0.40320223852282294","0.402966626442065","0.402966626442065","0.402966626442065","0.40267249670086047","0.40267249670086047","0.40267249670086047","0.40273997448398896","0.40273997448398896","0.40273997448398896","0.402877525623677","0.402877525623677","0.402877525623677","0.4030645120273139","0.4030645120273139","0.4030645120273139"
"29","0.4033747886416282","0.4033747886416282","0.4033747886416282","0.40325199176732707","0.40325199176732707","0.40325199176732707","0.40331136895265246","0.40331136895265246","0.40331136895265246","0.40305332656239495","0.40305332656239495","0.40305332656239495","0.40363720320319774","0.40363720320319774","0.40363720320319774","0.40371962554954816","0.40371962554954816","0.40371962554954816","0.4035010692915539","0.4035010692915539","0.4035010692915539","0.40320068069944875","0.40320068069944875","0.40320068069944875","0.4032997384325559","0.4032997384325559","0.4032997384325559","0.4033983241183352","0.4033983241183352","0.4033983241183352","0.40361028287290457","0.40361028287290457","0.40361028287290457"
"30","0.4038894839787372","0.4038894839787372","0.4038894839787372","0.40356421838946827","0.40356421838946827","0.40356421838946827","0.40374423438159096","0.40374423438159096","0.40374423438159096","0.40358973486259664","0.40358973486259664","0.40358973486259664","0.40399782750381735","0.40399782750381735","0.40399782750381735","0.40436334218592196","0.40436334218592196","0.40436334218592196","0.4040005878677828","0.4040005878677828","0.4040005878677828","0.40380313241536686","0.40380313241536686","0.40380313241536686","0.4036916216091794","0.4036916216091794","0.4036916216091794","0.40389584659619504","0.40389584659619504","0.40389584659619504","0.4041031494616353","0.4041031494616353","0.4041031494616353"
"31","0.40416966229247736","0.40416966229247736","0.40416966229247736","0.4041527232488061","0.4041527232488061","0.4041527232488061","0.40404944931540604","0.40404944931540604","0.40404944931540604","0.4041304478026208","0.4041304478026208","0.4041304478026208","0.40440989056692705","0.40440989056692705","0.40440989056692705","0.4046214557544004","0.4046214557544004","0.4046214557544004","0.4043674535252278","0.4043674535252278","0.4043674535252278","0.404001893109982","0.404001893109982","0.404001893109982","0.4041480705354473","0.4041480705354473","0.4041480705354473","0.4044491365991017","0.4044491365991017","0.4044491365991017","0.4046110743385567","0.4046110743385567","0.4046110743385567"
